zip_file,status,audio_found,audio_made_smaller,before_bytes,after_bytes,before_mib,after_mib,saved_bytes,saved_percent,output_file
LIDO_hi1308.zip,compressed,29,29,1328673,942206,1.27,0.9,386467,29.09,/home/santhosh/Desktop/audio-compressed-zips/LIDO_hi1308.zip
pwc0003.zip,compressed,1,1,975702,940899,0.93,0.9,34803,3.57,/home/santhosh/Desktop/audio-compressed-zips/pwc0003.zip
EN_NC_00047.zip,compressed,36,36,1100100,949792,1.05,0.91,150308,13.66,/home/santhosh/Desktop/audio-compressed-zips/EN_NC_00047.zip
EN_NC_00095.zip,compressed,77,77,1711575,949956,1.63,0.91,761619,44.5,/home/santhosh/Desktop/audio-compressed-zips/EN_NC_00095.zip
EN_NC_00105.zip,compressed,37,37,1162182,955640,1.11,0.91,206542,17.77,/home/santhosh/Desktop/audio-compressed-zips/EN_NC_00105.zip
HI_HA_0021.zip,compressed,57,57,2208734,956970,2.11,0.91,1251764,56.67,/home/santhosh/Desktop/audio-compressed-zips/HI_HA_0021.zip
HI_HA_0072.zip,compressed,71,71,1976238,952491,1.88,0.91,1023747,51.8,/home/santhosh/Desktop/audio-compressed-zips/HI_HA_0072.zip
HM_NC_00019.zip,compressed,67,67,2784013,950024,2.66,0.91,1833989,65.88,/home/santhosh/Desktop/audio-compressed-zips/HM_NC_00019.zip
HM_NC_00053.zip,compressed,46,2,1005552,951234,0.96,0.91,54318,5.4,/home/santhosh/Desktop/audio-compressed-zips/HM_NC_00053.zip
HM_NC_00094.zip,unchanged (compression gave no saving),47,0,957281,957281,0.91,0.91,0,0,/home/santhosh/Desktop/audio-compressed-zips/HM_NC_00094.zip
HN_NC_00052.zip,compressed,34,34,1046570,958834,1,0.91,87736,8.38,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00052.zip
HN_NC_00117.zip,compressed,52,52,1935971,957442,1.85,0.91,978529,50.54,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00117.zip
HN_NC_00151.zip,compressed,45,45,1957549,949700,1.87,0.91,1007849,51.49,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00151.zip
HN_NC_00185.zip,compressed,55,55,1761770,949427,1.68,0.91,812343,46.11,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00185.zip
LIDO_en3105.zip,compressed,28,28,1071353,952065,1.02,0.91,119288,11.13,/home/santhosh/Desktop/audio-compressed-zips/LIDO_en3105.zip
LIDO_en3205.zip,compressed,21,21,1151459,954078,1.1,0.91,197381,17.14,/home/santhosh/Desktop/audio-compressed-zips/LIDO_en3205.zip
LIDO_kn0405.zip,compressed,26,26,976667,950503,0.93,0.91,26164,2.68,/home/santhosh/Desktop/audio-compressed-zips/LIDO_kn0405.zip
LIDO_kn0502.zip,compressed,22,22,1000065,957996,0.95,0.91,42069,4.21,/home/santhosh/Desktop/audio-compressed-zips/LIDO_kn0502.zip
MT_NC_00001.zip,compressed,54,54,1208253,958523,1.15,0.91,249730,20.67,/home/santhosh/Desktop/audio-compressed-zips/MT_NC_00001.zip
EN_NC_00016.zip,compressed,35,35,1069743,961934,1.02,0.92,107809,10.08,/home/santhosh/Desktop/audio-compressed-zips/EN_NC_00016.zip
LIDO_en2415.zip,compressed,49,49,1178196,963545,1.12,0.92,214651,18.22,/home/santhosh/Desktop/audio-compressed-zips/LIDO_en2415.zip
LIDO_en2504.zip,compressed,29,29,1121788,960159,1.07,0.92,161629,14.41,/home/santhosh/Desktop/audio-compressed-zips/LIDO_en2504.zip
LIDO_en3301.zip,compressed,33,33,1253689,965165,1.2,0.92,288524,23.01,/home/santhosh/Desktop/audio-compressed-zips/LIDO_en3301.zip
MT_NC_00021.zip,compressed,61,1,978232,960846,0.93,0.92,17386,1.78,/home/santhosh/Desktop/audio-compressed-zips/MT_NC_00021.zip
MT_NC_00051.zip,compressed,41,41,1454044,959510,1.39,0.92,494534,34.01,/home/santhosh/Desktop/audio-compressed-zips/MT_NC_00051.zip
lido_test_002.zip,compressed,5,5,1143870,965666,1.09,0.92,178204,15.58,/home/santhosh/Desktop/audio-compressed-zips/lido_test_002.zip
EN_NC_00077.zip,compressed,70,70,1740416,973363,1.66,0.93,767053,44.07,/home/santhosh/Desktop/audio-compressed-zips/EN_NC_00077.zip
HM_NC_00016.zip,compressed,41,41,6772993,977569,6.46,0.93,5795424,85.57,/home/santhosh/Desktop/audio-compressed-zips/HM_NC_00016.zip
HN_NC_00057.zip,compressed,48,48,1657624,971790,1.58,0.93,685834,41.37,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00057.zip
HN_NC_00110.zip,compressed,40,40,1084954,971062,1.03,0.93,113892,10.5,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00110.zip
HN_NC_00115.zip,compressed,41,41,2137223,971980,2.04,0.93,1165243,54.52,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00115.zip
HN_NC_00153.zip,compressed,43,43,1971285,976092,1.88,0.93,995193,50.48,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00153.zip
HN_NC_00164.zip,compressed,23,23,5896714,970979,5.62,0.93,4925735,83.53,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00164.zip
HN_NC_00182.zip,compressed,43,43,6379800,972007,6.08,0.93,5407793,84.76,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00182.zip
HN_NC_00195.zip,compressed,35,35,1796082,979006,1.71,0.93,817076,45.49,/home/santhosh/Desktop/audio-compressed-zips/HN_NC_00195.zip
LIDO_en1907.zip,compressed,29,29,1042146,978811,0.99,0.93,63335,6.08,/home/santhosh/Desktop/audio-compressed-zips/LIDO_en1907.zip
LIDO_en2701.zip,compressed,51,51,1299936,977359,1.24,0.93,322577,24.81,/home/santhosh/Desktop/audio-compressed-zips/LIDO_en2701.zip
EN_NC_00088.zip,compressed,70,70,1923326,987007,1.83,0.94,936319,48.68,/home/santhosh/Desktop/audio-compressed-zips/EN_NC_00088.zip
EN_NC_00127.zip,compressed,36,36,1726287,986438,1.65,0.94,739849,42.86,/home/santhosh/Desktop/audio-compressed-zips/EN_NC_00127.zip
